"SampleID","Sample","B.cells","Macrophages.M1","Macrophages.M2","Monocytes","Neutrophils","NK.cells","T.cells.CD4","T.cells.CD8","Tregs","Dendritic.cells","Other","GDPD2","Group"
"TCGA-44-A4SS-01A-11R-A24X-07",NA,0.0527293567049955,0.056903482046069,0.0650211293520044,0,0.0638954827201178,0.0160990129454277,0,0.0272028027043597,0.0526925207190643,0.0157958209102959,0.649660391897666,4.5484296685537,"High"
"TCGA-44-A4SU-01A-11R-A24X-07",NA,0.0370450543793924,0.0402066267904769,0.0472519067583865,0,0.0996188075725432,0.0376085659865111,0,0.000474677563698632,0.0418039707292998,0,0.695990390219692,4.42543349773201,"Low"
"TCGA-49-4486-01A-01R-1206-07",NA,0.00462756520409196,0.00457403929845015,0.105535426843415,0,0.0413328749399197,0.012792348552359,0.0364981342683742,0.00355060827442577,0.00749409908968906,0,0.783594903529275,3.95193445243,"Low"
"TCGA-49-4487-01A-21R-1858-07",NA,0.0653065585231461,0.115302770856573,0.0451087274288044,0,0.0754961515763417,0.0206802097364234,0.0386552767394174,0.0491539226279398,0.0614543250244916,0,0.528842057486863,4.13027897980191,"Low"
"TCGA-49-4488-01A-01R-1755-07",NA,0.00962972033683961,0.280970655830422,0.0240590683777501,0,0.0923062231975884,0.00893920269305671,0,0.0364038266230974,0.0407185521873713,0,0.506972750753875,4.11828247745936,"Low"
"TCGA-49-4490-01A-21R-1858-07",NA,0.0155083566185582,0.0424556567094139,0.0496574924023779,0,0.084512720010611,0.0205816873372693,0.0282874636691057,0.00496807763011271,0.0230326464113993,0.00338153540767727,0.727614363803475,4.12648106523721,"Low"
"TCGA-49-4494-01A-01R-1206-07",NA,0.0107005730923824,0.104027649786806,0.0457229025265329,0,0.0851315916527379,0.0186470405304352,0.00158967266323823,0.0245571736616144,0.0271732928931861,0,0.682450103193067,4.06900796900853,"Low"
"TCGA-49-4501-01A-01R-1206-07",NA,0.0321846978568655,0.112479943376685,0.0693155469003958,0,0.0757438629499086,0.0171243500295867,0.0188569220120439,0.0156396180925154,0.045661775292132,0,0.612993283489867,4.43235656062272,"Low"
"TCGA-49-4505-01A-01R-1206-07",NA,0.0180016376469662,0.13128312309087,0.0805153262099451,0,0.0904680589341985,0.0187422052428504,0,0.0309415953099982,0.0410229113837135,0,0.589025142181458,4.50847031453759,"Low"
"TCGA-49-4506-01A-01R-1206-07",NA,0.00923309245569947,0.070856198798021,0.00418781087577459,0.000419090740513653,0.0810861337420941,0.00454400388037822,0.0126258601687748,0.0495407011010005,0.0166527720808026,0,0.750854336156941,4.1511690938443,"Low"
"TCGA-49-4507-01A-01R-1206-07",NA,0.0104271275119784,0.0439736750146834,0.0187769731944735,0,0.0972818612919315,0.0124868910612218,0,0.0585423139523814,0.0156690408468403,0,0.74284211712649,4.46923698607076,"Low"
"TCGA-49-4510-01A-01R-1206-07",NA,0.00990818534138059,0.0661495244141733,0.129196625859103,0,0.0314927251927316,0.0266084310329883,0,0.00632019797185184,0.0243789256174009,0,0.70594538457037,4.15460891747083,"Low"
"TCGA-49-4512-01A-21R-1858-07",NA,0.0155477293724264,0.0892548281670059,0.0629073821185761,0,0.0934645758147947,0.0223628998647695,0,0.00137199765315669,0.0291986417056329,0,0.685891945303638,4.4534832420529,"Low"
