"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045104","intermediate filament cytoskeleton organization","17/806","89/18842",0.191011235955056,4.46530236707837,6.92707905628084,1.90877078842748e-07,2.14274358884691e-05,2.14274358884691e-05,"KRT6B/KRT13/KRT20/KRT9/KRT79/KRT23/KRT16/KRT81/KRT31/KRT74/KRT40/KRT72/NEFL/KRT6C/KRT14/KRT77/KRT5",17
"GO:0030317","flagellated sperm motility","28/806","217/18842",0.129032258064516,3.01640918914592,6.31552962264514,1.90954735165941e-07,2.14274358884691e-05,2.14274358884691e-05,"TAC3/TMEM232/SPAG8/DNAI1/CFAP161/TAC1/CFAP58/TEKT4/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/DRC7/DNAH3/HOATZ/CFAP43/CFAP77",28
"GO:0097722","sperm motility","28/806","217/18842",0.129032258064516,3.01640918914592,6.31552962264514,1.90954735165941e-07,2.14274358884691e-05,2.14274358884691e-05,"TAC3/TMEM232/SPAG8/DNAI1/CFAP161/TAC1/CFAP58/TEKT4/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/DRC7/DNAH3/HOATZ/CFAP43/CFAP77",28
"GO:0023061","signal release","43/806","430/18842",0.1,2.33771712158809,5.93194905758086,2.22677847028875e-07,2.39191467612781e-05,2.39191467612781e-05,"UNC13C/FGB/CASR/SLC32A1/HRH3/TAC1/GAL/G6PC2/WNT7A/NEUROD1/INHA/GHRHR/SYT9/CLTRN/PTPRN/HNF4A/GPRC6A/PRKCG/SYT5/BMP6/SSTR5/HTR2C/SYT4/CCKAR/CACNA1B/SEPTIN5/KCNK9/GPR158/ABCC8/GALR1/CADPS/GDNF/ECRG4/PDX1/FOXD1/FAM3D/SYT8/CHGA/SYT13/SLC2A2/KCNMB4/TRPM5/HTR1B",43
"GO:0045103","intermediate filament-based process","17/806","90/18842",0.188888888888889,4.41568789633306,6.86633551235738,2.26078891883536e-07,2.39191467612781e-05,2.39191467612781e-05,"KRT6B/KRT13/KRT20/KRT9/KRT79/KRT23/KRT16/KRT81/KRT31/KRT74/KRT40/KRT72/NEFL/KRT6C/KRT14/KRT77/KRT5",17
"GO:0019373","epoxygenase P450 pathway","8/806","18/18842",0.444444444444444,10.3898538737248,8.42536087426514,3.2348340790921e-07,3.32738627635501e-05,3.32738627635501e-05,"CYP2C18/CYP1A1/CYP2C19/CYP2C9/CYP4F2/CYP4F12/CYP2A13/CYP2F1",8
"GO:0007218","neuropeptide signaling pathway","19/806","115/18842",0.165217391304348,3.86231524436293,6.50851126519596,4.02172323537172e-07,4.02498409204905e-05,4.02498409204905e-05,"TAC3/QRFPR/TAC1/NTSR1/GAL/NPY5R/PENK/BRS3/SSTR5/NPY1R/PRLHR/NPPB/TENM1/RXFP4/NTS/NPSR1/GALR1/NPFFR2/ECRG4",19
"GO:0006814","sodium ion transport","29/806","242/18842",0.119834710743802,2.80139655066341,5.96224640054387,5.64307712348539e-07,5.49903015480695e-05,5.49903015480695e-05,"FGF12/SLC5A8/FXYD1/SCNN1B/SCNN1G/SLC9A2/HCN1/CNGA3/SLC38A4/CNGA4/SLC6A19/SLC13A2/NKAIN3/FXYD4/PCSK9/SLC6A2/SLC5A1/BPIFA1/KCNK9/SLC6A20/SLC9A3/SLC13A5/SLC10A2/ATP12A/SCN4A/SLC9A4/TRPM5/SLC9C2/SCN3A",29
"GO:0007288","sperm axoneme assembly","9/806","27/18842",0.333333333333333,7.79239040529363,7.46623736763739,1.07279467332564e-06,0.000101860478854483,0.000101860478854483,"CFAP58/CFAP65/CFAP47/CFAP206/DNAH12/FSIP2/DRC7/DNAH3/CFAP43",9
"GO:0019369","arachidonate metabolic process","13/806","60/18842",0.216666666666667,5.06505376344086,6.66684538583376,1.16830409312564e-06,0.000108155751421106,0.000108155751421106,"CYP2C18/CYP1A1/ALOX15B/ALOX15/CYP2C19/CYP2C9/CYP4F2/CYP4F8/CYP4F12/CYP4F3/EPHX1/CYP2A13/CYP2F1",13
