"Gene","Beta","HR","Pvalue","FDR"
"RANGAP1",0.419857154295442,1.5217441654749,0.0014749892786274,0.0565303717728991
"AC007614.1",-0.391473104180439,0.676060233444227,0.00147624696172918,0.0565303717728991
"CD6",-0.226058366512341,0.797671543000996,0.00147820572675186,0.0565303717728991
"SLC25A5-AS1",-0.481991333129681,0.617552413988174,0.00147825362355991,0.0565303717728991
"CAMKK1",-0.334900153831529,0.715409513685457,0.00147902708781064,0.0565303717728991
"PPM1M",-0.349984668016891,0.704698894067428,0.00147936134210973,0.0565303717728991
"PP2672",-0.875751786783848,0.416548746093651,0.00147996246363577,0.0565303717728991
"CD69",-0.200655615641956,0.818194156309551,0.00148048362026738,0.0565303717728991
"ANKRD36BP2",-0.158825147538006,0.853145520522822,0.00148104440025138,0.0565303717728991
"CCT7",0.462919909453197,1.58870609698055,0.00148539413349524,0.0566267883928733
"ESX1",0.327586133333142,1.38761456601849,0.00148557932512168,0.0566267883928733
"AC021188.1",-0.601093972091411,0.548211579762982,0.00148802287457407,0.0566655896899358
"AC009961.3",-0.462607442963125,0.629639753516383,0.00148860753389377,0.0566655896899358
"SPHK1",0.199197029248044,1.2204224011207,0.00149017854266339,0.0566842394487813
"AC010761.6",-0.711062818940623,0.491121946274243,0.00149113724099511,0.0566842394487813
"MIR646HG",-0.164105884323446,0.848652158163103,0.00149211386657428,0.0566842394487813
"HDGF",0.402951474120828,1.49623428381785,0.00149443429464058,0.0567341601310822
"AC090115.1",-0.777213835186116,0.459684986895429,0.00149635928879604,0.0567690116185501
"CAPN3",-0.193173857314475,0.824338644377076,0.00150076094870071,0.0568828737319355
"UBL4A",0.408252223864261,1.50418650506119,0.00150137853187739,0.0568828737319355
"CLDN2",-0.0992018346198838,0.905559916235838,0.00150500476311451,0.056960363355938
"AL354953.1",0.220829671657629,1.24711099412422,0.00150544454023605,0.056960363355938
"AC104938.1",-0.673957990016521,0.509687243194162,0.00150855316956318,0.0570397005280306
"AC099754.1",-1.38484233569818,0.250363270030261,0.00151219291710435,0.0570822013650551
"KRT8P49",0.532398802674106,1.70301260393867,0.00151222437095426,0.0570822013650551
"SLC25A34",-0.364191777322482,0.694757943147892,0.00151271478713269,0.0570822013650551
"AC005856.1",-0.441198271080051,0.643265153051632,0.00151592268422986,0.0571571480486335
"RDX",0.317971493049474,1.37433708250991,0.00151672863418397,0.0571571480486335
"ACCSL",-1.35456121001884,0.258060503976086,0.00151864783929565,0.0571875327188504
"BEND5",-0.240325433112315,0.786371907963559,0.00152006639211787,0.0571875327188504
"MVB12B",-0.289744731132572,0.748454600353321,0.0015205781102873,0.0571875327188504
"MCTP2",-0.275071478639302,0.759517831983504,0.00152182289222573,0.0571961915814117
"KRT86",0.20531288440475,1.22790919850401,0.00152576178403495,0.0573060268732542
"CLUL1",-0.24588128571685,0.782015055771953,0.00152803757116345,0.0573532930172507
"DSC2",0.21648080610962,1.24169925208577,0.00153127123249754,0.0573679664369302
"LRIF1",0.420846385200067,1.52325026665042,0.00153141728692889,0.0573679664369302
"AC068896.1",-0.481977771991988,0.617560788758278,0.0015314812950117,0.0573679664369302
"AC005070.3",-0.493473305029823,0.610502246889284,0.0015327018482339,0.0573755640079909
"CUL4B",0.590247163278647,1.80443435019633,0.00153504264591829,0.0573800181228837
"RNU6-127P",8.39758917789609,4436.35857382446,0.00153510410589485,0.0573800181228837
"SPAG5",0.208276124239943,1.23155318429051,0.00153653097677311,0.0573800181228837
"TP53INP1",-0.320545446478092,0.725753069638188,0.00153689207048309,0.0573800181228837
"GVINP1",-0.213815910956467,0.807497022695542,0.00153848021783996,0.0574012976578064
"AC009365.1",8.0625600857545,3173.40393011397,0.00154175342807006,0.0574659550596904
"RBP5",-0.305512893309811,0.736745405681494,0.00154320338652867,0.0574659550596904
"IFNA8",1.82194097585117,6.18384951150756,0.00154339774613487,0.0574659550596904
"ZNF254",-0.292004647962647,0.746765065029163,0.00154429051219368,0.0574659550596904
"MTATP6P9",5.79222736256998,327.742212728315,0.00154757711511454,0.0575502687610141
"PSMA4",0.393071178675804,1.48152383848135,0.00155062943691803,0.0576257647565529
"NKD1",-0.177858292870996,0.837061032600423,0.00155690275687503,0.0578207838086868
"OLA1",0.395692276190829,1.48541215052926,0.00156033670834363,0.0579101660760898
"WWC2-AS2",0.452960962852606,1.5729627813357,0.0015670488300489,0.0581079408157573
"AC011444.3",-0.852220929412911,0.426466726892847,0.00156791117044247,0.0581079408157573
"ANKDD1B",-0.206268980478729,0.813614200510431,0.00156875773239646,0.0581079408157573
"MRTFA",0.516530142673829,1.67620136776494,0.0015706073919856,0.0581382549774
"HSP90AA1",0.419672785794925,1.52146362964672,0.00157427678395204,0.0582075767117369
"AC108053.1",-0.436328280574271,0.646405488735617,0.00157832509115524,0.0582075767117369
"POPDC3",0.129677606650519,1.13846129180475,0.00157890652616857,0.0582075767117369
"ELDR",0.43464567851084,1.54441574230834,0.00157920181430989,0.0582075767117369
"NGRN",0.313304283106628,1.36793770804205,0.00157959338959363,0.0582075767117369
"AP000704.1",-0.440499628301872,0.643714722631249,0.00158051703725404,0.0582075767117369
"ZNF154",-0.25733211475094,0.773111409420365,0.00158066153737623,0.0582075767117369
